rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id,gps_id,gps_waypoint_id,mot_culvert_id,utm_corrected,condition,erosion,embankment_issues,blockage_issues,condition_rank,likelihood_flood_event_affecting_culvert,consequence_flood_event_affecting_culvert,climate_change_flood_risk,vulnerability_rank,traffic_volume,community_access,cost,constructability,fish_bearing,environmental_impacts,priority_rank,overall_rank,mergin_user,photo_road,photo_upstream,photo_inlet,photo_downstream,photo_outlet,photo_barrel,photo_condition,photo_embankment,photo_blockage,photo_extra1,photo_extra2,photo_extra1_tag,photo_extra2_tag,condition_notes,climate_notes,priority_notes,surveyor_1,surveyor_2,surveyor_3,gps_waypoint_number,habitat_comment,erosion_issues,embankment_fill_issues,photo_embankment_fill
NA,2022-09-09T07:00:00Z,NA,8300178,newgraph_airvine,9,558773.2057464429,6126523.31011327,Tributary to Kitwanga River,11A Ave,NA,MoTi,CBS,ROUND,1.3,9,No,NA,NA,NA,NA,1,0,0.2,Yes,1,4,0,Yes,NA,Deep Fill,MEDIUM,NA,0,0,0,0,0,NA,NA,NA,NA, There are actually two pipes that are 0.65 cm. One pipe has a extension into the Beaverdam located immediately upstream of the inlet. This stream is not in the map location as it is located upstream via the Kitwanga River approximately 250 m.,NA,NA,NA,2022-09-09T19:31:04Z,newgraph_airvine,NA,newgraph_airvine,NA,62794035,Yes,NA,NA,NA,2,3,4,1,4,7,1,1,1,9,10,9,31,38,newgraph_airvine,20220909_124017.jpg,20220909_124025.jpg,20220909_124035.jpg,20220909_124044.jpg,20220909_124040.jpg,20220909_124019.jpg,NA,NA,20220909_124115.jpg,20220909_124118.jpg,20220909_124150.jpg,Pipe above inlet,Dredging upstream , 1 m high Beaverdam immediately upstream in the inlet. Left pipe has extension on it going underneath the Beaverdam. Inlet appears to have been recently dug out to three blockage issues. There is a old piece of culvert sticking out upstream of the Beaverdam dam.,Hello large flow events would likely overwhelm the culvert there is multiple access points to the community so it could be repaired.          ," Although there is a fiss samp          Although there is a fiss sample site downstream there is no fisheries information for the system. However, because it is so close to the kit Waldo river fish presents downstream is assured. le site downstream there is no fisheries information for the system. However, because it is so close to the kit Waldo river fish presents downstream is assured.",newgraph_airvine,NA,NA,64,Beaver influence wetland upstream and slow moving organic substrate channel downstream on floodplain of the Kitwanga.      This could be good rearing habitat for juvenile salmon from the Kit Wonger River.          ,1,1,20220909_124102.jpg
NA,2022-09-16T07:00:00Z,NA,2022091601,newgraph_airvine,9,981207.168826941,5797256.816940275,5 Mile Creek,Highway 97,NA,MoTi,CBS,ROUND,2.25,55,No,0.8,Yes,NA,NA,8,0,0.1,NA,3,2.1,5,NA,NA,Deep Fill,MEDIUM,NA,0,0,0,0,0,NA,NA,NA,NA, Outlet of the culvert is embedded 80 cm. It is only the top 2 1/2 m of pipe that is not fully embedded with natural substrate. Although this call hurt me the score as a barrier from the Provincial metric conditions within the pipe are very similar to Outlet of the culvert is embedded 80 cm. It is only the top 2 1/2 m of pipe that is not fully embedded with natural substrate. Although this culvert may score as a barrier from the Provincial metric conditions within the pipe are very similar to what we see upstream within the step pool channel.     ,NA,NA,NA,2022-09-17T01:39:41Z,newgraph_airvine,NA,newgraph_airvine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,newgraph_airvine,20220916_192838.jpg,20220916_193020.jpg,20220916_192859.jpg,20220916_192917.jpg,20220916_192904.jpg,20220916_192845.jpg,NA,NA,NA,20220916_192923.jpg,20220916_192939.jpg,Algae upstream,60cm debris jam upstream ,NA,NA,NA,newgraph_airvine,NA,NA,82,extremely high turbidity and the significant amounts of algae within the channel indicate that there are cattle related impacts upstream.          ,NA,NA,NA
NA,2022-08-30T20:37:18Z,NA,1805507,newgraph_airvine,9,645034.0022372806,6033148.398311838,Stock Creek,CN Rail,91,CN,CBS,CRTBOX,2.5,14.5,Yes,0.4,Yes,Yes,100,0.5,0,0.2,NA,0,2.5,0,Yes,Yes,DF,MEDIUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Fully back watered and embedded concrete blocks structure on the Railway. Not a fish passage issue at this time.          ,NA,NA,NA,2022-08-30T20:37:18Z,newgraph_airvine,NA,newgraph_airvine,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,newgraph_airvine,20220830_135815.jpg,20220830_135822.jpg,20220830_134858.jpg,20220830_134907.jpg,20220830_134903.jpg,20220830_135818.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-09-08T07:00:00Z,NA,8300054,newgraph_airvine,9,583025.51612117,6130401.849903049,Tributary to Skeena River ,Kispiox Valley Road ,NA,MoTi,CBS,ROUND,2,24,Yes,0.2,Yes,Yes,95,3,0,0.8,Yes,0.5,NA,NA,Yes,Yes,Deeef Fil,HIGH,NA,0,0,0,0,0,NA,NA,NA,NA,Culvert appears very old and near end of life. Flow is moving between the 21 m pipes. Trash rack on inlet would be barrier to coho moving up to spawn.          ,NA,NA,NA,2022-09-08T18:02:05Z,newgraph_airvine,NA,newgraph_airvine,NA,62676967,No,NA,NA,NA,2,3,1,4,4,7,8,10,2,2,10,9,41,48,newgraph_airvine,20220908_111324.jpg,20220908_111334.jpg,20220908_111338.jpg,20220908_111348.jpg,20220908_111343.jpg,20220908_111328.jpg,NA,NA,20220908_111403.jpg,20220908_112203.jpg,NA,Gravels upstream ,NA, Large amount of flow is going in between the two pipes and not through them. Trash guards on inlets are quite damaged. Beaverdam’s immediately down stream. Roadfill material is made of road barriers. Pipes in bad shape,Significant amounts of water moving through here and this highway is a major Corredor for people living in Kispiox and associated valley upstream.           ,NA,newgraph_airvine,NA,NA,58,Extensive gravels upstream suitable for spawning. Good flow and nice looking stream. Colin Morrison reports sampling was conducted with Coho captured downstream of Beaverdam complex and no fish captured upstream.          ,1,1,NA
NA,2022-09-09T07:00:00Z,NA,8300188,MateoW,9,558317.007500636,6127315.824757395,Trib to Kitwanga River,Hwy 37,NA,NA,CBS,ROUND,1.2,14,Yes,0.25,Yes,Yes,100,1.5,0.1,0.15,NA,1,1.8,2,NA,NA,Deep Fill,LOW,NA,0,0,0,0,0,NA,NA,NA,NA,"Dewatered downstream, but there's water in the culvert. Water upstream, opens up to big wetland and floodplain.",NA,NA,NA,2022-09-09T19:45:07Z,MateoW,NA,MateoW,NA,62794168,NA,NA,NA,NA,1,2,3,5,15,17,9,8,2,4,0,4,27,44,MateoW,photos/TimePhoto_20220909_122029.jpg,photos/TimePhoto_20220909_123026.jpg,photos/TimePhoto_20220909_122350.jpg,photos/TimePhoto_20220909_121816.jpg,photos/TimePhoto_20220909_121227.jpg,photos/TimePhoto_20220909_121245.jpg,photos/TimePhoto_20220909_121249.jpg,NA,NA,photos/TimePhoto_20220909_123328.jpg,NA,Wetland upstream,NA,NA,NA,NA,MateoW,NA,NA,88,NA,1,1,NA
NA,2022-08-29T17:40:34Z,197653,NA,tieasha.pierre,9,665525.1229597195,6044125.583525857,Perow Creek,Highway 16,NA,NA,CBS,OVAL,2.3,17.5,Yes,1,Yes,NA,NA,0.5,0,0,NA,1.5,4.6,3,No,No,DF,MEDIUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stream was dry at time of survey but had water last year during extremely dry ear. There is private land residential development impacting the stream with the constricted channel with a large chunks of coffee just as rip rap throughout          ,NA,NA,NA,2022-08-29T17:40:34Z,NR2,NA,AI,21,62709340,Yes,2,1,1,1,2,3,3,9,11,10,5,3,3,10,8,39,50,tieasha.pierre,20220829_115808.jpg,20220829_115827.jpg,20220829_115832.jpg,20220829_115847.jpg,20220829_115841.jpg,20220829_115817.jpg,NA,NA,NA,NA,NA,NA,NA,Decent with some minor metal damage, Decently large size watershed with the covert very embedded so some risk of blockage before large release of flows upstream potentially related to Beaverdam. On Highway 16 so interruptions of the highway Corredor would be a high consequence. Railway and a house or two is located downstream       ,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-08-31T20:09:50Z,123392,NA,MateoW,9,638553.3505109992,6054801.843127167,Lemieux Creek,Quick school road,NA,NA,CBS,ROUND,1.15,11.5,Yes,0.05,No,NA,NA,0.75,0,0.5,NA,1,3.6,1.5,NA,NA,DF,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passable crossing, deep outlet pool but the stream dewaters after the pool. ",NA,NA,NA,2022-08-31T20:09:50Z,MateoW,NA,MateoW,49,62815993,NA,1,0,1,1,2,1,1,1,3,2,1,4,10,10,NA,NA,NA,MateoW,photos/TimePhoto_20220831_130911.jpg,photos/TimePhoto_20220831_131804.jpg,photos/TimePhoto_20220831_131754.jpg,photos/TimePhoto_20220831_132041.jpg,photos/TimePhoto_20220831_132031.jpg,photos/TimePhoto_20220831_131902.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-09-07T07:00:00Z,NA,8301754,newgraph_bute,9,564129.639187511,6166824.121560977,Trib to cullon ,Kuldo,NA,NA,CBS,OVAL,3.9,26,Yes,0.123,Yes,NA,NA,2.5,0,0,NA,1.5,3.8,3,NA,NA,SF,HIGH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baffles installed,NA,NA,NA,2022-09-07T20:38:37Z,newgraph_bute,NA,newgraph_bute,NA,NA,NA,NA,NA,NA,1,2,1,1,1,3,2,7,7,5,10,9,40,43,newgraph_bute,20220907_141840.jpg,20220907_141913.jpg,20220907_141929.jpg,20220907_141939.jpg,20220907_141937.jpg,20220907_142023.jpg,NA,NA,NA,20220907_142036.jpg,NA,Picture of baffle ,NA,Baffles and culvert in good condition,NA,NA,Jo,Ai,NA,52,NA,1,1,NA
NA,2022-09-07T07:00:00Z,NA,NA,newgraph_airvine,9,568168.5166909174,6160280.0379935345,Cullen Creek,Kuldo FSR,2.6,NA,CBS,ROUND,2.9,19,Yes,0.44,Yes,NA,NA,1,0,0,NA,3,3,5,NA,Yes,DF,HIGH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This culvert has been replaced with a fully embedded stream bed simulation. In good shape and functioning.          ,NA,NA,NA,2022-09-07T22:55:19Z,newgraph_airvine,NA,newgraph_airvine,NA,NA,NA,NA,NA,NA,1,2,1,1,1,3,1,7,9,9,10,10,46,49,newgraph_airvine,20220907_161155.jpg,20220907_161211.jpg,20220907_161214.jpg,20220907_161241.jpg,20220907_161238.jpg,20220907_161204.jpg,NA,NA,NA,20220907_161359.jpg,NA,Remediated signage,NA,New culvert          ,NA,NA,newgraph_airvine,NA,NA,55,Abundant gravels near crossing. Multiple parr observed.,1,1,NA
NA,2022-09-09T07:00:00Z,NA,8300012,MateoW,9,563541.5865949871,6109764.6998258075,Trib to Kitwanga River,Moore Road,NA,NA,CBS,ROUND,2.8,10,Yes,0.22,Yes,NA,NA,1,0.1,0.1,NA,0,4.3,2,NA,Yes,Deep Fill,HIGH,NA,0,0,0,0,0,NA,NA,NA,NA,Embedded with no outlet drop.,NA,NA,NA,2022-09-09T17:39:21Z,MateoW,NA,MateoW,NA,62659896,NA,NA,NA,NA,1,2,1,1,1,3,3,8,8,9,10,7,45,48,MateoW,photos/TimePhoto_20220909_102200.jpg,photos/TimePhoto_20220909_102346.jpg,photos/TimePhoto_20220909_102423.jpg,photos/TimePhoto_20220909_102621.jpg,photos/TimePhoto_20220909_102615.jpg,photos/TimePhoto_20220909_102434.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MateoW,NA,NA,86,High value habitat. Very wide channel with fines gravels and cobbles throughout. ,1,1,NA
NA,2022-09-09T07:00:00Z,NA,8300917,MateoW,9,563869.1708949264,6109781.034396092,Trib to Kitwanga River,Moore Road,NA,NA,CBS,ROUND,1.6,7.5,Yes,0.38,Yes,NA,NA,0.7,0.1,0.2,NA,1.5,2.1,1,NA,Yes,Deep Fill,HIGH,NA,0,0,0,0,0,NA,NA,NA,NA,"Two culverts, both embedded with no drop. Fish spotted in culvert(up to 20 cm in length) and downstream. ",NA,NA,NA,2022-09-09T18:13:33Z,MateoW,NA,MateoW,NA,62659898,NA,NA,NA,NA,1,3,2,2,4,7,5,9,8,8,10,7,47,54,MateoW,photos/TimePhoto_20220909_105218.jpg,photos/TimePhoto_20220909_105428.jpg,photos/TimePhoto_20220909_111017.jpg,photos/TimePhoto_20220909_110448.jpg,photos/TimePhoto_20220909_110245.jpg,photos/TimePhoto_20220909_105442.jpg,NA,NA,NA,photos/TimePhoto_20220909_105744.jpg,NA,Erosion near outlet on road.,NA,Some bad erosion near outlet. ,NA,NA,MateoW,NA,NA,87,High value habitat with lots of cover and fines and gravels that could be suitable for spawning.,3,2,NA
NA,2022-09-09T07:00:00Z,8300090,NA,jesse olson,9,558928.2651477936,6126835.770483686,Trib to kitwanga river,Highway 37,NA,Moti,CBS,ROUND,3.8,25,Yes,2.16,Yes,NA,NA,0.23,0,0,NA,2,2.6,2,Yes,NA,Deep Fill,HIGH,NA,0,0,0,0,0,NA,NA,NA,NA,Culvert embedded resembles stream. Utm corrected 100m down road.,NA,NA,NA,2022-09-09T19:25:34Z,jesse olson,NA,jesse olson,NA,60709505,Yes,NA,NA,NA,1,2,1,2,2,4,5,3,5,4,10,5,32,36,jesse olson,20220909_125645.jpg,20220909_125723.jpg,20220909_125731.jpg,20220909_125739.jpg,20220909_125735.jpg,20220909_125656.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jo,NA,NA,NA,Beaver activity downstream,1,1,NA
NA,2022-09-09T07:00:00Z,8301994,NA,jesse olson,9,550299.9776666177,6140708.121854228,NA,NA,NA,NA,CBS,ROUND,0.85,10,NA,NA,NA,No,NA,0.45,0.24,0.22,NA,22.3,2.3,1,NA,NA,Deep Fill,HIGH,NA,0,0,0,0,0,NA,NA,NA,NA,2 culverts side by side,NA,NA,NA,2022-09-09T21:23:18Z,jesse olson,NA,jesse olson,NA,NA,NA,NA,NA,NA,1,2,1,3,3,5,1,10,2,10,10,9,42,47,jesse olson,20220909_145528.jpg,20220909_145612.jpg,20220909_145620.jpg,20220909_145628.jpg,20220909_145624.jpg,20220909_145535.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy beaver activity in surrounding area,jo,NA,NA,NA,Lots of beaver activity in area,1,1,NA
NA,2022-08-31T20:32:43Z,123393,NA,MateoW,9,638515.9573368968,6054721.900802599,Lemieux creek,Highway 16,NA,NA,CBS,ROUND,1.3,21.2,NA,NA,NA,Yes,90,1.5,0,0.4,NA,1,NA,NA,NA,NA,DF,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very deep outlet pool. Almost fully backwatered, a little bit of flow through the culvert. But the crossing is passable.",NA,NA,NA,2022-08-31T20:32:43Z,MateoW,NA,MateoW,50,62666050,NA,2,2,1,1,2,2,2,4,6,10,4,2,3,10,3,32,38,MateoW,photos/TimePhoto_20220831_134647.jpg,photos/TimePhoto_20220831_133742.jpg,photos/TimePhoto_20220831_133228.jpg,photos/TimePhoto_20220831_133957.jpg,photos/TimePhoto_20220831_134001.jpg,photos/TimePhoto_20220831_133214.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2022-09-05T07:00:00Z,NA,8302421,newgraph_airvine,9,567222.2253323515,6154119.937283166,Tributary to Kispiox River,Helen 9000,NA,NA,CBS,ROUND,1,10,NA,NA,NA,Yes,100,0.5,0,1,NA,0,15,0,Yes,NA,DF,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, No structure visible. Beaver Ponds on both sides of the road. Diameter estimated. Large mature Beaverdam located approximately 10 m downstream of road.          ,NA,NA,NA,2022-09-05T18:02:23Z,newgraph_airvine,NA,newgraph_airvine,NA,NA,NA,NA,NA,NA,3,NA,4,1,4,NA,1,10,1,1,5,10,28,NA,newgraph_airvine,20220905_110650.jpg,20220905_110657.jpg,20220905_110707.jpg,20220905_110716.jpg,20220905_110710.jpg,20220905_110653.jpg,NA,NA,NA,NA,NA,NA,NA, Guessing that this covert is completely blocked by fever.          ,NA,NA,newgraph_airvine,NA,NA,39, No fish information available for the stream however downstream there is FISS points with Eco Cat  report links that can be looked at,0,0,NA
NA,2022-09-05T07:00:00Z,NA,2022090501,newgraph_airvine,9,573065.7422437755,6152232.084042167,Tributary to Kispiox River ,Poplar Park Rd,NA,MoTi,CBS,ROUND,NA,14.5,NA,NA,NA,Yes,50,1.5,0,0.03,Yes,1,2.2,1,Yes,NA,DF,HIGH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pence Lake is located approximately 50 m upstream. Inlet of culvert is significantly damaged with metal that in words. Culvert is separating approximately halfway through the pipe – see photo. Pipe is quite corroded. Pence Lake rec site is located approximately 2 to 300 m up the road.,NA,NA,NA,2022-09-05T22:47:49Z,newgraph_airvine,NA,newgraph_airvine,NA,62798181,NA,NA,NA,NA,2,NA,1,3,3,NA,1,1,10,10,0,10,32,NA,newgraph_airvine,20220905_160257.jpg,20220905_160308.jpg,20220905_160318.jpg,NA,20220905_160324.jpg,20220905_160304.jpg,20220905_160329.jpg,NA,NA,20220905_160338.jpg,NA,Culvert separated ,NA,NA,NA,NA,newgraph_airvine,NA,NA,043, Provincial records show CO and CT observed in the lake. This is the main flow that drains the lake. There are two other culverts further to the south that appear to be connected to the same wetland complex potentially however this appears to be the connection to the Kispiox River.  Fry observed down stream. There is a large Inlet drop that would prevent fry migration upstream through the pipe.  Pipe is likely damaged from dredging culvert maintenance with machine. Evidence of dredging downstream as well.                ,1,1,NA
NA,2022-09-08T07:00:00Z,NA,8300033,newgraph_airvine,9,579936.8211331607,6144036.623709872,Tributary to Kispiox River,Seventeen Mile Road in,NA,MoTI,CBS,ROUND,0.8,13,NA,NA,NA,Yes,100,0.3,0,1,NA,0.5,2.5,0,NA,NA,Deeef Fil,MEDIUM,NA,0,0,0,0,0,NA,NA,NA,NA, Wetland a Upstream. Debris cone on inlet has separated from the culvert. Large inlet drop due to the debris caught in the inlet.,NA,NA,NA,2022-09-09T00:15:52Z,newgraph_airvine,NA,newgraph_airvine,NA,6279335,NA,NA,NA,NA,2,3,2,3,6,9,2,8,9,8,0,8,35,44,newgraph_airvine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Debris catcher on the inlet is separating from the pipe and is jammed up with debris. Plastic pipe appears recently installed.          ,Only access road to several residences. Very little amount of Phil indicates that with high volume of precipitation the road would wash out.          ,No fisheries information available. Very close to the Kispiox mainstem though. Potential Crossing is located down stream on private land and could not be accessed.          ,newgraph_airvine,NA,NA,62,Likely a Coho rearing area although difficult to tell if it is deep enough and if there is enough area to support. No fish information available for the stream.          ,1,1,NA
NA,2022-08-26T07:00:00Z,NA,2022082701,newgraph_airvine,9,975957.2151808552,5998754.633340373,Kenneth Creek,Highway 5,NA,MoTi,CBS,OVAL,6,36,NA,NA,NA,NA,NA,1.5,0.45,3,NA,1,15,0.5,NA,NA,DF,HIGH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, Dead Chinook observed upstream of the crossing. Extremely high value spawning habitat located upstream. Massive outlet pool indicating culvert is enormously undersized. Posted sign down stream of the Highway indicating that this is a salmon spawning location.,NA,NA,NA,2000-02-01T08:00:00Z,newgraph_airvine,NA,newgraph_airvine,15,NA,NA,1,5,1,1,2,5,3,15,17,10,1,8,8,10,10,47,64,newgraph_airvine,20220827_133225.jpg,20220827_133247.jpg,20220827_133252.jpg,20220827_133303.jpg,20220827_133257.jpg,20220827_133231.jpg,NA,NA,NA,20220827_133328.jpg,20220827_133418.jpg,Chinook upstream,Massive outlet pool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
